epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2016.67,0.84624,0.79359,1.09962,0.6633,0.63135,0.65475,0.50655,0.91934,0.90108,1.04363,0.000594125,0.000594125,0.000594125
55,2086.66,0.90228,0.80297,1.08208,0.99686,0.63889,0.66308,0.50851,0.89503,0.86556,1.05966,0.00058175,0.00058175,0.00058175
56,2156.01,0.79365,0.81623,1.08092,0.99621,0.63889,0.66418,0.50202,0.92619,0.87603,1.08916,0.000569375,0.000569375,0.000569375
57,2220.32,0.85117,0.83112,1.08721,0.99351,0.65875,0.66892,0.49851,0.96685,0.88305,1.11742,0.000557,0.000557,0.000557
58,2288.48,0.86511,0.79437,1.10706,0.99344,0.65615,0.67848,0.51346,0.92404,0.85626,1.08845,0.000544625,0.000544625,0.000544625
59,2385.28,0.84834,0.79153,1.07674,0.98847,0.66273,0.67343,0.50911,0.88812,0.83101,1.0739,0.00053225,0.00053225,0.00053225
60,2493.77,0.86828,0.77665,1.07769,0.99034,0.66495,0.67303,0.51052,0.92938,0.82755,1.10864,0.000519875,0.000519875,0.000519875
61,2584.4,0.82129,0.78004,1.06021,0.99179,0.66484,0.67816,0.5097,0.94045,0.8258,1.12876,0.0005075,0.0005075,0.0005075
62,2674.96,0.84404,0.73805,1.05039,0.99502,0.6634,0.68781,0.51465,0.88742,0.79194,1.09784,0.000495125,0.000495125,0.000495125
63,2773.98,0.76523,1.22345,0.96728,0.9953,0.66667,0.67599,0.51259,0.87687,0.78139,1.08086,0.00048275,0.00048275,0.00048275
64,2861.51,0.84701,0.75889,1.09544,0.99396,0.66667,0.67892,0.51724,0.879,0.78756,1.0758,0.000470375,0.000470375,0.000470375
65,2951.47,0.83399,0.72353,1.06245,0.99297,0.66607,0.7016,0.52092,0.88552,0.79842,1.06823,0.000458,0.000458,0.000458
66,3048.79,0.79166,0.71008,1.06107,0.98969,0.66437,0.6965,0.52449,0.88247,0.79437,1.0598,0.000445625,0.000445625,0.000445625
67,3124.96,0.79391,0.74811,1.06735,0.98855,0.66295,0.6855,0.50982,0.90149,0.80604,1.04509,0.00043325,0.00043325,0.00043325
68,3223.86,0.80823,0.71355,1.04851,0.99108,0.66218,0.68038,0.52745,0.88757,0.81277,1.04205,0.000420875,0.000420875,0.000420875
69,3327.49,0.82258,0.73944,1.05957,0.99327,0.66275,0.67811,0.52725,0.86985,0.80882,1.0338,0.0004085,0.0004085,0.0004085
70,3438.5,0.7535,0.7045,1.04488,0.99391,0.6649,0.68261,0.51244,0.85487,0.78531,1.034,0.000396125,0.000396125,0.000396125
71,3556.43,0.79987,0.73282,1.04023,0.99307,0.6651,0.68647,0.51336,0.88155,0.77927,1.04495,0.00038375,0.00038375,0.00038375
72,3666.37,0.84907,0.77372,1.08344,0.99412,0.66612,0.67774,0.51081,0.88609,0.79241,1.04836,0.000371375,0.000371375,0.000371375
73,3784.71,0.72305,0.71604,1.03938,0.99458,0.66621,0.67417,0.51192,0.88877,0.77526,1.06023,0.000359,0.000359,0.000359
74,3905.21,0.78669,0.71034,1.00835,0.99538,0.66667,0.67565,0.51637,0.87744,0.75089,1.05191,0.000346625,0.000346625,0.000346625
75,4028.69,0.80413,0.68,1.05116,0.99599,0.66667,0.68856,0.52545,0.88987,0.74735,1.05363,0.00033425,0.00033425,0.00033425
76,4150.79,0.82978,0.67748,1.08589,0.99504,0.66667,0.68038,0.53295,0.85785,0.73546,1.03935,0.000321875,0.000321875,0.000321875
77,4254.75,0.81995,0.70317,1.03994,0.99436,0.66571,0.67975,0.52475,0.84478,0.73728,1.02972,0.0003095,0.0003095,0.0003095
78,4366.65,0.75785,0.65375,1.00306,0.99235,0.66061,0.68194,0.52095,0.86456,0.7299,1.0331,0.000297125,0.000297125,0.000297125
79,4484.18,0.72514,0.63644,0.99227,0.9906,0.65889,0.68616,0.52842,0.84848,0.74008,1.04369,0.00028475,0.00028475,0.00028475
80,4518.03,0.74206,0.67235,1.02038,0.9953,0.63889,0.68504,0.52455,0.85167,0.74451,1.05684,0.000272375,0.000272375,0.000272375
81,4533.26,0.80649,0.67963,1.04573,0.99727,0.63889,0.69823,0.52771,0.85536,0.74293,1.06611,0.00026,0.00026,0.00026
82,4547.41,0.71628,1.31042,0.96156,0.65957,0.6612,0.68389,0.52865,0.8532,0.74685,1.06454,0.000247625,0.000247625,0.000247625
83,4563.36,0.76108,0.63438,1.02047,0.99325,0.66143,0.67962,0.53598,0.85497,0.75357,1.05285,0.00023525,0.00023525,0.00023525
84,4578.75,0.74823,0.66353,1.02326,0.99277,0.6619,0.67526,0.52243,0.85098,0.7569,1.05385,0.000222875,0.000222875,0.000222875
85,4593.05,0.71051,0.65177,0.99134,0.99781,0.63889,0.6691,0.51897,0.85613,0.76161,1.05314,0.0002105,0.0002105,0.0002105
86,4608.54,0.71788,0.62511,1.00369,0.99715,0.63889,0.65889,0.52297,0.84818,0.75763,1.04903,0.000198125,0.000198125,0.000198125
87,4623.34,0.7112,0.64409,0.9918,0.99632,0.63889,0.65514,0.51724,0.84474,0.76495,1.04865,0.00018575,0.00018575,0.00018575
88,4639.05,0.70632,0.6176,1.0121,0.99596,0.63889,0.65146,0.5156,0.83952,0.75952,1.04265,0.000173375,0.000173375,0.000173375
89,4655.03,0.72895,0.62559,1.01671,0.99603,0.63867,0.65122,0.5138,0.83784,0.76139,1.04298,0.000161,0.000161,0.000161
90,4670.54,0.67544,0.61656,1.0111,0.99611,0.63849,0.65162,0.51659,0.84443,0.75968,1.05201,0.000148625,0.000148625,0.000148625
91,4688.31,0.7469,0.74863,1.08976,0.99672,0.63872,0.67384,0.517,0.84946,0.74355,1.05468,0.00013625,0.00013625,0.00013625
92,4705.58,0.69345,0.68409,0.97927,0.99698,0.63889,0.65669,0.51292,0.85338,0.73989,1.05377,0.000123875,0.000123875,0.000123875
93,4721.74,0.70489,0.65809,1.00037,0.99707,0.63889,0.65688,0.5124,0.84033,0.73856,1.04445,0.0001115,0.0001115,0.0001115
94,4738.02,0.70786,0.6741,0.99317,0.99709,0.63889,0.65545,0.51409,0.82866,0.72946,1.03906,9.9125e-05,9.9125e-05,9.9125e-05
95,4754.23,0.65614,0.63566,0.96033,0.99762,0.63889,0.66011,0.51205,0.82983,0.73646,1.04339,8.675e-05,8.675e-05,8.675e-05
96,4771.99,0.65553,0.67581,0.9472,0.99769,0.63889,0.65478,0.51291,0.83611,0.73858,1.04722,7.4375e-05,7.4375e-05,7.4375e-05
97,4792.26,0.69174,0.68856,1.00201,0.99789,0.63889,0.67684,0.52169,0.84008,0.73698,1.05145,6.2e-05,6.2e-05,6.2e-05
98,4898.09,0.6757,0.66115,1.02573,0.99766,0.63889,0.67477,0.52067,0.83444,0.73192,1.04611,4.9625e-05,4.9625e-05,4.9625e-05
99,5016.86,0.60711,0.60013,0.92911,0.99786,0.63889,0.67791,0.52257,0.83949,0.73698,1.04992,3.725e-05,3.725e-05,3.725e-05
100,5049.43,0.68765,0.63376,0.98275,0.99773,0.63889,0.68343,0.5278,0.84341,0.74064,1.05462,2.4875e-05,2.4875e-05,2.4875e-05
